,recency,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,DM_category,marital_status
84,5,167.16,0,1,Urban,1,Web,Womens E-Mail,1,1,1,Single_Women
85,2,81.59,0,1,Surburban,1,Web,Womens E-Mail,1,0,1,Single_Women
86,4,124.56,0,1,Surburban,0,Phone,No E-Mail,1,0,5,Single_Women
87,1,75.68,0,1,Surburban,1,Phone,No E-Mail,1,0,5,Single_Women
88,6,52.38,1,0,Urban,1,Phone,Mens E-Mail,1,0,2,Single_Man
89,10,57.49,1,0,Urban,1,Phone,Mens E-Mail,1,0,2,Single_Man
90,10,291.87,1,0,Urban,0,Phone,Womens E-Mail,1,0,4,Single_Man
91,9,639.11,0,1,Surburban,1,Multichannel,Womens E-Mail,1,0,1,Single_Women
92,6,142.7,1,0,Rural,0,Phone,Mens E-Mail,1,0,2,Single_Man
93,1,384.73,1,0,Urban,0,Phone,Mens E-Mail,1,0,2,Single_Man
94,9,369.35,1,0,Surburban,0,Web,Womens E-Mail,1,0,4,Single_Man
95,10,271.86,1,1,Surburban,0,Multichannel,Mens E-Mail,1,0,5,Married
96,2,303.01,0,1,Surburban,0,Web,Womens E-Mail,1,0,1,Single_Women
97,5,415.49,0,1,Surburban,0,Phone,No E-Mail,1,0,5,Single_Women
98,5,31.68,1,0,Surburban,0,Web,Womens E-Mail,1,0,4,Single_Man
99,6,134.23,0,1,Urban,0,Web,Mens E-Mail,1,0,3,Single_Women
100,9,29.99,1,0,Surburban,1,Web,Mens E-Mail,1,0,2,Single_Man
101,6,217.15,1,1,Urban,0,Multichannel,No E-Mail,1,0,11,Married
102,1,542.48,1,0,Rural,1,Web,No E-Mail,1,0,6,Single_Man
103,4,325.33,0,1,Surburban,0,Phone,Womens E-Mail,1,0,1,Single_Women
104,10,39.64,0,1,Rural,1,Web,Mens E-Mail,1,0,3,Single_Women
105,2,266.18,1,0,Urban,0,Web,Mens E-Mail,1,1,2,Single_Man
106,5,198.92,1,0,Rural,1,Phone,No E-Mail,1,0,6,Single_Man
107,5,29.99,0,1,Surburban,0,Phone,No E-Mail,1,0,5,Single_Women
108,6,283.94,1,0,Surburban,1,Multichannel,Mens E-Mail,1,0,2,Single_Man
109,1,162.01,0,1,Surburban,1,Phone,Mens E-Mail,1,0,3,Single_Women
110,7,474.02,1,1,Urban,0,Web,No E-Mail,1,0,11,Married
111,3,29.99,1,0,Urban,1,Phone,No E-Mail,1,0,6,Single_Man
112,1,438.35,1,1,Surburban,0,Web,Mens E-Mail,1,0,5,Married
113,6,434.79,1,0,Urban,0,Multichannel,No E-Mail,1,0,6,Single_Man
114,1,248.83,0,1,Urban,0,Multichannel,Mens E-Mail,1,0,3,Single_Women
115,4,70.48,1,0,Urban,0,Web,Mens E-Mail,1,0,2,Single_Man
116,1,86.92,0,1,Urban,0,Phone,No E-Mail,1,0,5,Single_Women
117,3,1054.18,1,1,Surburban,1,Multichannel,Mens E-Mail,1,0,5,Married
118,10,203.22,1,0,Rural,0,Phone,Womens E-Mail,1,1,4,Single_Man
119,12,187.15,1,0,Urban,1,Web,Womens E-Mail,1,0,4,Single_Man
120,4,365.71,0,1,Urban,0,Web,Mens E-Mail,1,0,3,Single_Women
121,4,213.73,0,1,Urban,0,Web,Mens E-Mail,1,0,3,Single_Women
122,2,119.26,0,1,Surburban,0,Phone,Mens E-Mail,1,0,3,Single_Women
123,9,281.03,1,0,Rural,0,Web,Mens E-Mail,1,0,2,Single_Man
124,10,64.67,0,1,Rural,1,Phone,Womens E-Mail,1,0,1,Single_Women
125,4,111.41,0,1,Urban,1,Web,Mens E-Mail,1,0,3,Single_Women
126,1,806.22,1,1,Surburban,1,Multichannel,Womens E-Mail,1,0,5,Married
127,1,266.73,1,1,Urban,0,Phone,Mens E-Mail,1,0,5,Married
128,12,284.48,1,0,Surburban,0,Phone,Mens E-Mail,1,0,2,Single_Man
129,2,210.21,1,0,Surburban,0,Phone,Mens E-Mail,1,0,2,Single_Man
130,2,277.79,1,0,Surburban,1,Multichannel,No E-Mail,1,0,6,Single_Man
131,12,147.62,0,1,Surburban,1,Phone,Womens E-Mail,1,0,1,Single_Women
132,2,86.32,0,1,Urban,1,Phone,Womens E-Mail,1,0,1,Single_Women
133,9,159.4,0,1,Surburban,0,Phone,No E-Mail,1,0,5,Single_Women
134,5,74.13,1,0,Rural,0,Web,Mens E-Mail,1,0,2,Single_Man
135,10,29.99,1,0,Rural,0,Phone,Mens E-Mail,1,0,2,Single_Man
136,3,692.3,1,1,Rural,1,Phone,No E-Mail,1,0,11,Married
137,7,36.38,0,1,Surburban,0,Phone,Mens E-Mail,1,0,3,Single_Women
138,4,356.06,0,1,Surburban,0,Phone,Mens E-Mail,1,0,3,Single_Women
139,9,273.69,1,1,Urban,1,Phone,Womens E-Mail,1,0,5,Married
140,1,58.26,0,1,Rural,1,Web,Womens E-Mail,1,0,1,Single_Women
141,7,200.53,0,1,Rural,0,Web,Mens E-Mail,1,1,3,Single_Women
142,1,127.64,1,0,Urban,0,Phone,Womens E-Mail,1,0,4,Single_Man
143,6,178.37,1,0,Surburban,1,Web,Mens E-Mail,1,0,2,Single_Man
144,12,525.03,0,1,Urban,1,Phone,No E-Mail,1,0,5,Single_Women
145,6,384.55,1,0,Surburban,0,Web,Mens E-Mail,1,0,2,Single_Man
146,3,309.81,1,0,Rural,0,Web,Womens E-Mail,1,1,4,Single_Man
147,6,508.62,0,1,Surburban,1,Web,Mens E-Mail,1,0,3,Single_Women
148,10,178.11,0,1,Urban,0,Phone,No E-Mail,1,0,5,Single_Women
149,2,356.01,1,0,Urban,0,Web,No E-Mail,1,0,6,Single_Man
150,1,115.58,0,1,Surburban,0,Web,Mens E-Mail,1,0,3,Single_Women
151,10,29.99,0,1,Rural,1,Web,Mens E-Mail,1,0,3,Single_Women
152,7,46.62,1,0,Rural,1,Web,Mens E-Mail,1,0,2,Single_Man
153,2,216.55,0,1,Surburban,0,Multichannel,No E-Mail,1,0,5,Single_Women
154,3,71.41,0,1,Surburban,0,Web,No E-Mail,1,0,5,Single_Women
155,6,139.82,1,0,Urban,1,Phone,Womens E-Mail,1,0,4,Single_Man
156,5,346.83,1,1,Urban,0,Phone,Womens E-Mail,1,0,5,Married
157,2,415.79,0,1,Urban,1,Web,Mens E-Mail,1,0,3,Single_Women
158,7,679.2,1,1,Rural,1,Multichannel,Womens E-Mail,1,0,5,Married
159,2,39.31,0,1,Surburban,1,Web,Womens E-Mail,1,1,1,Single_Women
160,3,89.24,1,0,Urban,0,Phone,Mens E-Mail,1,0,2,Single_Man
161,1,73.93,1,0,Surburban,1,Phone,Mens E-Mail,1,0,2,Single_Man
162,7,29.99,1,0,Surburban,0,Phone,Womens E-Mail,1,0,4,Single_Man
163,1,333.54,0,1,Surburban,0,Web,Womens E-Mail,1,0,1,Single_Women
164,11,102.7,0,1,Urban,0,Phone,Mens E-Mail,1,0,3,Single_Women
165,5,330.93,0,1,Surburban,0,Web,Mens E-Mail,1,0,3,Single_Women
166,3,324.4,1,0,Surburban,0,Phone,Mens E-Mail,1,1,2,Single_Man
167,8,126.84,0,1,Surburban,0,Phone,Womens E-Mail,1,0,1,Single_Women
168,10,293.52,1,1,Rural,0,Phone,Womens E-Mail,1,0,5,Married
169,5,449.22,1,0,Rural,0,Multichannel,Mens E-Mail,1,0,2,Single_Man
170,5,235.42,1,0,Surburban,0,Phone,No E-Mail,1,0,6,Single_Man
171,7,63.49,0,1,Surburban,1,Web,Mens E-Mail,1,0,3,Single_Women
172,1,301.64,1,0,Surburban,0,Web,Womens E-Mail,1,0,4,Single_Man
173,10,199.94,0,1,Urban,0,Web,No E-Mail,1,0,5,Single_Women
174,4,29.99,1,0,Urban,0,Phone,Mens E-Mail,1,0,2,Single_Man
175,4,336.22,0,1,Urban,0,Phone,Womens E-Mail,1,0,1,Single_Women
176,1,314.02,1,1,Surburban,0,Multichannel,No E-Mail,1,0,11,Married
177,7,229.24,0,1,Urban,0,Phone,Womens E-Mail,1,0,1,Single_Women
178,2,40.64,0,1,Surburban,0,Phone,Womens E-Mail,1,0,1,Single_Women
179,8,231.6,0,1,Urban,0,Multichannel,Womens E-Mail,1,0,1,Single_Women
180,2,1094.7,1,1,Urban,1,Web,No E-Mail,1,0,11,Married
181,5,522.35,1,1,Surburban,1,Phone,Mens E-Mail,1,0,5,Married
182,5,186.98,0,1,Surburban,1,Phone,Mens E-Mail,1,0,3,Single_Women
183,1,423.23,1,0,Urban,0,Phone,Womens E-Mail,1,0,4,Single_Man
184,4,1094.08,0,1,Rural,1,Multichannel,Mens E-Mail,1,0,3,Single_Women
185,10,29.99,1,0,Urban,0,Web,Mens E-Mail,1,0,2,Single_Man
186,1,63.1,0,1,Urban,1,Web,Mens E-Mail,1,0,3,Single_Women
187,1,743.75,0,1,Surburban,1,Multichannel,Womens E-Mail,1,0,1,Single_Women
188,3,294.44,1,1,Surburban,0,Multichannel,No E-Mail,1,0,11,Married
189,10,465.72,0,1,Surburban,0,Web,Womens E-Mail,1,0,1,Single_Women
190,2,78.98,1,0,Rural,1,Phone,Womens E-Mail,1,0,4,Single_Man
191,9,173.78,0,1,Surburban,0,Web,Womens E-Mail,1,0,1,Single_Women
192,1,833.1,1,1,Urban,1,Phone,Mens E-Mail,1,0,5,Married
193,1,1145.7,1,1,Surburban,1,Phone,Womens E-Mail,1,0,5,Married
194,1,122.7,1,0,Urban,1,Web,Mens E-Mail,1,0,2,Single_Man
195,3,111.54,0,1,Surburban,0,Web,Mens E-Mail,1,0,3,Single_Women
196,9,110.94,0,1,Urban,0,Web,No E-Mail,1,0,5,Single_Women
197,8,400.92,0,1,Urban,0,Multichannel,Womens E-Mail,1,1,1,Single_Women
198,10,237.92,1,0,Urban,0,Phone,Mens E-Mail,1,1,2,Single_Man
199,1,301.52,1,0,Urban,1,Phone,Mens E-Mail,1,0,2,Single_Man
200,12,133.13,1,0,Surburban,0,Web,No E-Mail,1,0,6,Single_Man
201,11,88.74,1,0,Surburban,0,Phone,No E-Mail,1,0,6,Single_Man
202,10,261.11,0,1,Urban,1,Multichannel,Mens E-Mail,1,0,3,Single_Women
203,7,29.99,0,1,Urban,0,Web,Mens E-Mail,1,0,3,Single_Women
204,8,72.14,0,1,Rural,1,Phone,Womens E-Mail,1,0,1,Single_Women
205,1,838.62,1,1,Urban,1,Web,Womens E-Mail,1,0,5,Married
206,1,249.32,1,1,Surburban,1,Phone,Mens E-Mail,1,0,5,Married
207,9,29.99,0,1,Rural,0,Web,Womens E-Mail,1,0,1,Single_Women
208,1,157.12,1,0,Rural,1,Web,Womens E-Mail,1,0,4,Single_Man
209,3,1222.51,0,1,Surburban,1,Multichannel,No E-Mail,1,0,5,Single_Women
210,9,283.99,1,1,Surburban,1,Web,Womens E-Mail,1,0,5,Married
211,4,819.31,1,0,Urban,1,Web,Womens E-Mail,1,1,4,Single_Man
212,9,361.17,0,1,Surburban,0,Phone,No E-Mail,1,0,5,Single_Women
213,10,162.79,0,1,Urban,1,Web,Womens E-Mail,1,0,1,Single_Women
214,2,29.99,0,1,Rural,1,Phone,Mens E-Mail,1,0,3,Single_Women
215,1,155.41,1,0,Surburban,0,Phone,Womens E-Mail,1,0,4,Single_Man
216,2,289.02,0,1,Urban,0,Web,No E-Mail,1,0,5,Single_Women
217,7,45.25,0,1,Urban,0,Web,Womens E-Mail,1,0,1,Single_Women
218,10,413.79,0,1,Surburban,1,Phone,No E-Mail,1,0,5,Single_Women
219,1,260.63,1,0,Surburban,0,Phone,Mens E-Mail,1,0,2,Single_Man
220,1,1551.66,1,1,Surburban,1,Multichannel,No E-Mail,1,0,11,Married
221,4,189.78,0,1,Rural,0,Web,Mens E-Mail,1,0,3,Single_Women
222,2,321.61,0,1,Surburban,0,Phone,Mens E-Mail,1,0,3,Single_Women
223,4,324.83,0,1,Rural,0,Web,No E-Mail,1,0,5,Single_Women
224,3,295.89,1,1,Urban,1,Phone,No E-Mail,1,0,11,Married
225,4,205.09,1,0,Surburban,0,Multichannel,Womens E-Mail,1,0,4,Single_Man
226,1,153.88,0,1,Rural,1,Web,Mens E-Mail,1,0,3,Single_Women
227,10,150.07,0,1,Surburban,0,Phone,Womens E-Mail,1,0,1,Single_Women
228,1,777.4,1,1,Urban,1,Web,Womens E-Mail,1,0,5,Married
229,1,166.6,0,1,Urban,1,Web,Womens E-Mail,1,0,1,Single_Women
230,9,410.94,1,0,Urban,0,Multichannel,Mens E-Mail,1,0,2,Single_Man
231,3,719.64,1,0,Rural,1,Multichannel,Mens E-Mail,1,0,2,Single_Man
232,4,29.99,0,1,Surburban,1,Phone,Womens E-Mail,1,0,1,Single_Women
233,2,88.33,1,0,Urban,0,Web,Mens E-Mail,1,0,2,Single_Man
234,3,268.59,1,0,Rural,0,Web,No E-Mail,1,1,6,Single_Man
235,12,102.18,0,1,Surburban,1,Web,Mens E-Mail,1,0,3,Single_Women
236,1,538.31,1,1,Urban,1,Phone,Mens E-Mail,1,0,5,Married
237,6,29.99,1,0,Surburban,1,Web,Mens E-Mail,1,0,2,Single_Man
238,6,84.07,1,0,Urban,0,Web,Womens E-Mail,1,0,4,Single_Man
239,1,31.01,0,1,Urban,0,Phone,Mens E-Mail,1,0,3,Single_Women
240,3,99.51,1,0,Urban,0,Web,Mens E-Mail,1,0,2,Single_Man
241,6,703.76,1,1,Surburban,1,Multichannel,Womens E-Mail,1,0,5,Married
242,10,331.83,1,0,Urban,0,Web,No E-Mail,1,0,6,Single_Man
243,10,134.95,0,1,Rural,1,Web,Mens E-Mail,1,0,3,Single_Women
244,10,29.99,1,0,Urban,0,Web,Womens E-Mail,1,0,4,Single_Man
245,2,83.81,0,1,Surburban,0,Web,No E-Mail,1,0,5,Single_Women
246,4,335.07,0,1,Surburban,0,Web,Womens E-Mail,1,0,1,Single_Women
247,11,83.49,1,0,Urban,0,Web,Mens E-Mail,1,0,2,Single_Man
248,5,309.3,1,1,Urban,0,Web,Mens E-Mail,1,0,5,Married
249,9,583.06,0,1,Urban,1,Phone,Womens E-Mail,1,0,1,Single_Women
250,1,29.99,0,1,Urban,0,Phone,No E-Mail,1,0,5,Single_Women
251,5,68.23,1,0,Urban,0,Web,Mens E-Mail,1,0,2,Single_Man
252,2,273.82,1,0,Urban,0,Web,No E-Mail,1,0,6,Single_Man
253,10,909.6,0,1,Urban,1,Web,No E-Mail,1,0,5,Single_Women
254,7,288.24,1,0,Urban,1,Web,No E-Mail,1,0,6,Single_Man
255,3,733.46,0,1,Urban,1,Web,Womens E-Mail,1,0,1,Single_Women
256,6,240.6,1,0,Urban,0,Web,No E-Mail,1,0,6,Single_Man
257,2,29.99,1,0,Surburban,0,Web,No E-Mail,1,0,6,Single_Man
258,1,284.87,1,0,Urban,0,Phone,No E-Mail,1,0,6,Single_Man
259,4,113.71,0,1,Rural,1,Phone,Womens E-Mail,1,0,1,Single_Women
260,1,285.74,1,1,Surburban,1,Phone,Mens E-Mail,1,0,5,Married
261,6,63.37,0,1,Urban,0,Web,Womens E-Mail,1,0,1,Single_Women
262,6,135.1,1,0,Surburban,1,Phone,Mens E-Mail,1,0,2,Single_Man
263,3,29.99,0,1,Rural,0,Web,No E-Mail,1,0,5,Single_Women
264,3,559.6,0,1,Rural,1,Phone,Womens E-Mail,1,0,1,Single_Women
265,1,314.33,1,1,Rural,0,Web,No E-Mail,1,0,11,Married
266,9,472.35,1,0,Urban,1,Phone,Mens E-Mail,1,0,2,Single_Man
267,11,135.79,1,0,Urban,0,Phone,Mens E-Mail,1,0,2,Single_Man
268,2,302.82,1,0,Rural,1,Phone,Mens E-Mail,1,0,2,Single_Man
269,3,423.12,0,1,Surburban,0,Web,Mens E-Mail,1,0,3,Single_Women
270,7,29.99,1,0,Surburban,1,Web,No E-Mail,1,0,6,Single_Man
271,2,487.35,1,1,Surburban,0,Multichannel,Mens E-Mail,1,0,5,Married
272,2,851.45,1,1,Rural,1,Web,No E-Mail,1,0,11,Married
273,2,366.24,1,1,Surburban,0,Web,Mens E-Mail,1,0,5,Married
274,9,316.27,1,1,Urban,0,Web,Womens E-Mail,1,0,5,Married
275,9,305.14,1,0,Urban,0,Phone,Mens E-Mail,1,0,2,Single_Man
276,2,94.6,0,1,Urban,1,Phone,Mens E-Mail,1,0,3,Single_Women
277,9,462.26,1,0,Surburban,0,Multichannel,No E-Mail,1,0,6,Single_Man
278,1,763.04,1,1,Surburban,1,Phone,Mens E-Mail,1,0,5,Married
279,9,96.24,1,0,Surburban,0,Web,Womens E-Mail,1,0,4,Single_Man
280,5,119.74,1,0,Urban,0,Web,No E-Mail,1,0,6,Single_Man
281,6,161.44,0,1,Urban,0,Web,Mens E-Mail,1,0,3,Single_Women
282,9,29.99,0,1,Urban,0,Web,Mens E-Mail,1,0,3,Single_Women
283,6,320.14,1,0,Surburban,0,Phone,Mens E-Mail,1,0,2,Single_Man
284,5,34.05,0,1,Urban,0,Web,Womens E-Mail,1,0,1,Single_Women
285,1,124.19,0,1,Surburban,1,Web,No E-Mail,1,0,5,Single_Women
286,8,45.41,1,0,Surburban,1,Web,Mens E-Mail,1,0,2,Single_Man
287,8,472.16,1,1,Urban,0,Multichannel,Mens E-Mail,1,0,5,Married
288,2,1006.43,0,1,Urban,1,Multichannel,Mens E-Mail,1,0,3,Single_Women
289,1,137.28,0,1,Urban,0,Web,Womens E-Mail,1,0,1,Single_Women
290,1,496.8,1,1,Urban,0,Web,Mens E-Mail,1,0,5,Married
291,4,241.57,1,0,Surburban,0,Web,Womens E-Mail,1,0,4,Single_Man
292,10,512.32,0,1,Surburban,1,Phone,Womens E-Mail,1,0,1,Single_Women
293,9,306.84,1,0,Rural,0,Web,Mens E-Mail,1,0,2,Single_Man
294,1,376.11,1,1,Surburban,0,Web,Mens E-Mail,1,0,5,Married
295,9,51.38,1,0,Urban,0,Web,Mens E-Mail,1,0,2,Single_Man
296,6,54.77,0,1,Urban,0,Phone,No E-Mail,1,0,5,Single_Women
297,3,262.87,1,0,Surburban,0,Phone,Mens E-Mail,1,0,2,Single_Man
298,7,69.12,0,1,Surburban,1,Phone,No E-Mail,1,0,5,Single_Women
299,1,102.01,1,0,Surburban,0,Web,No E-Mail,1,0,6,Single_Man
300,6,173.15,0,1,Surburban,1,Phone,Womens E-Mail,1,0,1,Single_Women
301,10,212.83,1,1,Surburban,0,Multichannel,Mens E-Mail,1,0,5,Married
302,2,210.51,0,1,Urban,0,Phone,Mens E-Mail,1,0,3,Single_Women
303,10,35.74,0,1,Surburban,1,Web,Mens E-Mail,1,0,3,Single_Women
304,4,290.76,1,0,Surburban,0,Phone,Womens E-Mail,1,0,4,Single_Man
305,9,183.87,0,1,Surburban,1,Phone,Womens E-Mail,1,0,1,Single_Women
306,1,116.77,1,0,Surburban,0,Web,No E-Mail,1,0,6,Single_Man
307,9,209.09,1,1,Surburban,1,Multichannel,Womens E-Mail,1,0,5,Married
308,9,297.59,0,1,Surburban,1,Phone,Mens E-Mail,1,1,3,Single_Women
309,11,231.97,0,1,Urban,0,Multichannel,No E-Mail,1,0,5,Single_Women
310,3,29.99,0,1,Surburban,1,Web,Mens E-Mail,1,0,3,Single_Women
311,2,323.37,0,1,Urban,0,Web,No E-Mail,1,0,5,Single_Women
312,2,214.86,1,0,Rural,1,Phone,Mens E-Mail,1,0,2,Single_Man
313,10,345.08,1,1,Rural,1,Web,Mens E-Mail,1,0,5,Married
314,1,561.39,1,1,Urban,1,Multichannel,Mens E-Mail,1,0,5,Married
315,3,29.99,1,0,Rural,1,Phone,Mens E-Mail,1,0,2,Single_Man
316,1,244.04,1,1,Surburban,0,Web,Womens E-Mail,1,0,5,Married
317,1,486.47,0,1,Surburban,0,Web,Mens E-Mail,1,0,3,Single_Women
318,2,468.06,0,1,Urban,0,Multichannel,No E-Mail,1,0,5,Single_Women
319,3,222.24,0,1,Rural,0,Web,Mens E-Mail,1,0,3,Single_Women
320,6,349.18,0,1,Rural,1,Phone,Mens E-Mail,1,0,3,Single_Women
321,5,110.46,0,1,Urban,0,Web,Mens E-Mail,1,0,3,Single_Women
322,6,176.42,1,0,Rural,1,Web,Womens E-Mail,1,0,4,Single_Man
323,4,522.19,1,0,Surburban,1,Phone,Mens E-Mail,1,0,2,Single_Man
324,2,295.13,1,0,Urban,0,Phone,No E-Mail,1,0,6,Single_Man
325,6,38.72,0,1,Rural,1,Phone,Mens E-Mail,1,0,3,Single_Women
326,4,448.98,1,1,Urban,0,Web,No E-Mail,1,0,11,Married
327,3,29.99,0,1,Surburban,0,Web,Mens E-Mail,1,0,3,Single_Women
328,11,86.1,0,1,Surburban,0,Phone,No E-Mail,1,0,5,Single_Women
329,10,353,0,1,Urban,0,Multichannel,Mens E-Mail,1,0,3,Single_Women
